type,published,title,link,cve
avis,"Fri, 19 Dec 2025 00:00:00 +0000",Multiples vulnérabilités dans le noyau Linux de Red Hat (19 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1132/,CVE-2023-53401
avis,"Fri, 19 Dec 2025 00:00:00 +0000",Multiples vulnérabilités dans le noyau Linux de Red Hat (19 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1132/,CVE-2023-53513
avis,"Fri, 19 Dec 2025 00:00:00 +0000",Multiples vulnérabilités dans le noyau Linux de Red Hat (19 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1132/,CVE-2023-53680
avis,"Fri, 19 Dec 2025 00:00:00 +0000",Multiples vulnérabilités dans le noyau Linux de Red Hat (19 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1132/,CVE-2024-46679
avis,"Fri, 19 Dec 2025 00:00:00 +0000",Multiples vulnérabilités dans le noyau Linux de Red Hat (19 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1132/,CVE-2025-38499
avis,"Fri, 19 Dec 2025 00:00:00 +0000",Multiples vulnérabilités dans le noyau Linux de Red Hat (19 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1132/,CVE-2025-38718
avis,"Fri, 19 Dec 2025 00:00:00 +0000",Multiples vulnérabilités dans le noyau Linux de Red Hat (19 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1132/,CVE-2025-38724
avis,"Fri, 19 Dec 2025 00:00:00 +0000",Multiples vulnérabilités dans le noyau Linux de Red Hat (19 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1132/,CVE-2025-38729
avis,"Fri, 19 Dec 2025 00:00:00 +0000",Multiples vulnérabilités dans le noyau Linux de Red Hat (19 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1132/,CVE-2025-39697
avis,"Fri, 19 Dec 2025 00:00:00 +0000",Multiples vulnérabilités dans le noyau Linux de Red Hat (19 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1132/,CVE-2025-39757
avis,"Fri, 19 Dec 2025 00:00:00 +0000",Multiples vulnérabilités dans le noyau Linux de Red Hat (19 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1132/,CVE-2025-39817
avis,"Fri, 19 Dec 2025 00:00:00 +0000",Multiples vulnérabilités dans le noyau Linux de Red Hat (19 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1132/,CVE-2025-39825
avis,"Fri, 19 Dec 2025 00:00:00 +0000",Multiples vulnérabilités dans le noyau Linux de Red Hat (19 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1132/,CVE-2025-39841
avis,"Fri, 19 Dec 2025 00:00:00 +0000",Multiples vulnérabilités dans le noyau Linux de Red Hat (19 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1132/,CVE-2025-39864
